StudentID,CourseID,Name,StudyOrNot,Semester,Group
3,15,Kỹ năng sử dụng bàn phím và thiết bị văn phòng,0,3,1
3,16,Những môn chính học kỳ 4,1,4,0
3,17,Giải thuật và tối ưu hoá phân tán,0,4,1
3,18,Trực quan hóa dữ liệu,0,4,1
3,19,Đại số tuyến tính tính toán,1,4,1
3,20,Quá trình ngẫu nhiên,0,4,2
3,21,Các ngôn ngữ truy vấn cơ sở dữ liệu,0,4,2
3,22,Kiến trúc hướng dịch vụ và Điện toán đám mây,1,4,2
3,23,Những môn chính học kỳ 5,1,5,0
3,24,Phân tích chuỗi thời gian,0,5,1
3,25,Xử lý ảnh,1,5,1
3,26,Kĩ thuật tài chính,0,5,1
3,27,Những môn chính học kỳ 6,1,6,0
3,28,Tiếp thị điện tử ,0,6,1
3,29,Tương tác người máy ,0,6,1
3,30,Giao dịch định lượng,0,6,1
3,31,Nhập môn Robot,0,6,1
3,32,Công nghệ phần mềm ,1,6,2
3,33,Tính toán song song,0,6,2
3,34,Khai phá đồ thị,0,6,2
3,35,Những môn chính học kỳ 7,1,7,0
3,36,Hệ khuyến nghị,0,7,1
3,37,Nhập môn an toàn thông tin,1,7,1
3,38,Lý thuyết trò chơi,0,7,1
3,39,Tâm lí học đại cương,0,7,2
3,40,Cơ sở văn hóa Việt Nam,0,7,2
3,41,Xã hội học,0,7,2
3,42,Tiếng Việt thực hành,0,7,2
3,43,Âm nhạc - Nhạc lý và Guitar căn bản,0,7,2
3,44,Hội họa,0,7,2
3,45,Những môn chính học kỳ 8,1,8,0
3,46,Phân tích dữ liệu Bayesian,1,8,1
3,47,Đảm bảo chất lượng và Kiểm thử phần mềm ,0,8,1
3,48,Phân tích kinh doanh,0,8,1
3,49,Giải tích ngẫu nhiên cho tài chính,0,8,1
3,50,Những môn chính học kỳ 9,1,9,0
4,1,Những môn chính học kỳ 1,1,1,0
4,2,Những môn chính học kỳ 2,1,2,0
4,3,Logic học,1,2,1
4,4,Phương pháp tính,0,2,1
4,5,Vật lý đại cương,0,2,1
4,6,Toán ứng dụng,0,2,1
4,7,Hàm phức và phép biến đổi Laplace,0,2,1
4,8,Những môn chính học kỳ 3,1,3,0
4,9,Kỹ năng xây dựng kế hoạch ,0,3,1
4,10,Quản trị học,0,3,1
4,11,Quản trị doanh nghiệp,0,3,1
4,12,Kế toán cơ bản,0,3,1
4,13,Môi trường và con người ,0,3,1
4,14,Giao tiếp kinh doanh,0,3,1
4,15,Kỹ năng sử dụng bàn phím và thiết bị văn phòng,1,3,1
4,16,Những môn chính học kỳ 4,1,4,0
4,17,Giải thuật và tối ưu hoá phân tán,0,4,1
4,18,Trực quan hóa dữ liệu,0,4,1
4,19,Đại số tuyến tính tính toán,1,4,1
4,20,Quá trình ngẫu nhiên,0,4,2
4,21,Các ngôn ngữ truy vấn cơ sở dữ liệu,0,4,2
4,22,Kiến trúc hướng dịch vụ và Điện toán đám mây,1,4,2
4,23,Những môn chính học kỳ 5,1,5,0
4,24,Phân tích chuỗi thời gian,0,5,1
4,25,Xử lý ảnh ,0,5,1
4,26,Kĩ thuật tài chính,0,5,1
4,27,Những môn chính học kỳ 6,1,6,0
4,28,Tiếp thị điện tử ,0,6,1
4,29,Tương tác người máy ,0,6,1
4,30,Giao dịch định lượng,0,6,1
4,31,Nhập môn Robot,0,6,1
4,32,Công nghệ phần mềm ,0,6,2
4,33,Tính toán song song,0,6,2
4,34,Khai phá đồ thị,0,6,2
4,35,Những môn chính học kỳ 7,1,7,0
4,36,Hệ khuyến nghị,0,7,1
4,37,Nhập môn an toàn thông tin,0,7,1
4,38,Lý thuyết trò chơi,0,7,1
4,39,Tâm lí học đại cương,0,7,2
4,40,Cơ sở văn hóa Việt Nam,0,7,2
4,41,Xã hội học,0,7,2
4,42,Tiếng Việt thực hành,1,7,2
4,43,Âm nhạc - Nhạc lý và Guitar căn bản,0,7,2
4,44,Hội họa,0,7,2
4,45,Những môn chính học kỳ 8,1,8,0
4,46,Phân tích dữ liệu Bayesian,0,8,1
4,47,Đảm bảo chất lượng và Kiểm thử phần mềm ,0,8,1
4,48,Phân tích kinh doanh,0,8,1
4,49,Giải tích ngẫu nhiên cho tài chính,0,8,1
4,50,Những môn chính học kỳ 9,1,9,0
5,1,Những môn chính học kỳ 1,1,1,0
5,2,Những môn chính học kỳ 2,1,2,0
5,3,Logic học,0,2,1
5,4,Phương pháp tính,1,2,1
5,5,Vật lý đại cương,0,2,1
5,6,Toán ứng dụng,0,2,1
5,7,Hàm phức và phép biến đổi Laplace,0,2,1
5,8,Những môn chính học kỳ 3,1,3,0
5,9,Kỹ năng xây dựng kế hoạch ,0,3,1
5,10,Quản trị học,1,3,1
5,11,Quản trị doanh nghiệp,0,3,1
5,12,Kế toán cơ bản,0,3,1
5,13,Môi trường và con người ,0,3,1
5,14,Giao tiếp kinh doanh,0,3,1
5,15,Kỹ năng sử dụng bàn phím và thiết bị văn phòng,0,3,1
5,16,Những môn chính học kỳ 4,1,4,0
5,17,Giải thuật và tối ưu hoá phân tán,0,4,1
5,18,Trực quan hóa dữ liệu,0,4,1
5,19,Đại số tuyến tính tính toán,1,4,1
5,20,Quá trình ngẫu nhiên,0,4,2
5,21,Các ngôn ngữ truy vấn cơ sở dữ liệu,0,4,2
5,22,Kiến trúc hướng dịch vụ và Điện toán đám mây,1,4,2
5,23,Những môn chính học kỳ 5,1,5,0
5,24,Phân tích chuỗi thời gian,0,5,1
5,25,Xử lý ảnh ,1,5,1
5,26,Kĩ thuật tài chính,0,5,1
5,27,Những môn chính học kỳ 6,1,6,0
5,28,Tiếp thị điện tử ,0,6,1
5,29,Tương tác người máy ,0,6,1
5,30,Giao dịch định lượng,1,6,1
5,31,Nhập môn Robot,0,6,1
5,32,Công nghệ phần mềm ,0,6,2
5,33,Tính toán song song,0,6,2
5,34,Khai phá đồ thị,1,6,2
5,35,Những môn chính học kỳ 7,1,7,0
5,36,Hệ khuyến nghị,0,7,1
5,37,Nhập môn an toàn thông tin,1,7,1
5,38,Lý thuyết trò chơi,0,7,1
5,39,Tâm lí học đại cương,0,7,2
5,40,Cơ sở văn hóa Việt Nam,0,7,2
5,41,Xã hội học,0,7,2
5,42,Tiếng Việt thực hành,1,7,2
5,43,Âm nhạc - Nhạc lý và Guitar căn bản,0,7,2
5,44,Hội họa,0,7,2
5,45,Những môn chính học kỳ 8,1,8,0
5,46,Phân tích dữ liệu Bayesian,1,8,1
5,47,Đảm bảo chất lượng và Kiểm thử phần mềm ,0,8,1
5,48,Phân tích kinh doanh,0,8,1
5,49,Giải tích ngẫu nhiên cho tài chính,0,8,1
5,50,Những môn chính học kỳ 9,1,9,0
