StudentID,CourseID,Name,StudyOrNot,Semester,Group
3,13,Kỹ năng xây dựng kế hoạch ,0,4,1
3,14,Quản trị học,1,4,1
3,15,Quản trị doanh nghiệp,0,4,1
3,16,Kế toán cơ bản,0,4,1
3,17,Môi trường và con người ,1,4,1
3,18,Giao tiếp kinh doanh,0,4,1
3,19,Kỹ năng sử dụng bàn phím và thiết bị văn phòng,0,4,1
3,20,Những môn chính học kỳ 5,1,5,0
3,21,Kiến trúc và cài đặt hệ CSDL,1,5,1
3,22,Cơ sở dữ liệu phân tán,0,5,1
3,23,Hệ quản trị cơ sở dữ liệu,0,5,1
3,24,Công cụ Web và Website hướng dữ liệu,0,5,2
3,25,Phát triển ứng dụng Web,1,5,2
3,26,Thương mại điện tử,0,5,2
3,27,Những môn chính học kỳ 6,1,6,0
3,28,Điện toán đám mây,1,6,1
3,29,Kiến trúc lưu trữ phân tán,0,6,1
3,30,Điện toán cụm,0,6,1
3,31,Lý thuyết đồ thị,1,6,2
3,32,Ngôn ngữ lập trình,0,6,2
3,33,Phân tích và quản lý yêu cầu,0,6,2
3,34,Những môn chính học kỳ 7,1,7,0
3,35,Truyền số liệu,0,7,1
3,36,Quản trị dịch vụ mạng,1,7,1
3,37,Kịch bản tích hợp nâng cao,0,7,1
3,38,Mạng không dây,0,7,2
3,39,Trí tuệ nhân tạo,1,7,2
3,40,Quản trị dự án hệ thống thông tin,0,7,2
3,41,Tâm lí học đại cương,0,7,3
3,42,Cơ sở văn hóa Việt Nam,0,7,3
3,43,Xã hội học,0,7,3
3,44,Tiếng Việt thực hành,1,7,3
3,45,Âm nhạc - Nhạc lý và Guitar căn bản,0,7,3
3,46,Hội họa,0,7,3
3,47,Những môn chính học kỳ 8,1,8,0
3,48,Hệ thống ảo và khả năng mở rộng dữ liệu,1,8,1
3,49,Lập trình phân tích dữ liệu 1,0,8,1
3,50,Automat và ngôn ngữ hình thức,0,8,1
3,51,Những môn chính học kỳ 9,1,9,0
4,1,Những môn chính học kỳ 1,1,1,0
4,2,Những môn chính học kỳ 2,1,2,0
4,3,Logic học,1,2,1
4,4,Phương pháp tính,0,2,1
4,5,Vật lý đại cương,0,2,1
4,6,Toán ứng dụng,0,2,1
4,7,Hàm phức và phép biến đổi Laplace,0,2,1
4,8,Những môn chính học kỳ 3,1,3,0
4,9,Lập trình trong CNTT với Python,0,3,1
4,10,Lập trình IoT với Python,0,3,1
4,11,Lập trình trong CNTT với Java,1,3,1
4,12,Những môn chính học kỳ 4,1,4,0
4,13,Kỹ năng xây dựng kế hoạch ,1,4,1
4,14,Quản trị học,0,4,1
4,15,Quản trị doanh nghiệp,0,4,1
4,16,Kế toán cơ bản,0,4,1
4,17,Môi trường và con người ,0,4,1
4,18,Giao tiếp kinh doanh,0,4,1
4,19,Kỹ năng sử dụng bàn phím và thiết bị văn phòng,0,4,1
4,20,Những môn chính học kỳ 5,1,5,0
4,21,Kiến trúc và cài đặt hệ CSDL,1,5,1
4,22,Cơ sở dữ liệu phân tán,0,5,1
4,23,Hệ quản trị cơ sở dữ liệu,0,5,1
4,24,Công cụ Web và Website hướng dữ liệu,0,5,2
4,25,Phát triển ứng dụng Web,1,5,2
4,26,Thương mại điện tử,0,5,2
4,27,Những môn chính học kỳ 6,1,6,0
4,28,Điện toán đám mây,0,6,1
4,29,Kiến trúc lưu trữ phân tán,0,6,1
4,30,Điện toán cụm,0,6,1
4,31,Lý thuyết đồ thị,1,6,2
4,32,Ngôn ngữ lập trình,0,6,2
4,33,Phân tích và quản lý yêu cầu,0,6,2
4,34,Những môn chính học kỳ 7,1,7,0
4,35,Truyền số liệu,0,7,1
4,36,Quản trị dịch vụ mạng,0,7,1
4,37,Kịch bản tích hợp nâng cao,0,7,1
4,38,Mạng không dây,0,7,2
4,39,Trí tuệ nhân tạo,0,7,2
4,40,Quản trị dự án hệ thống thông tin,0,7,2
4,41,Tâm lí học đại cương,0,7,3
