StudentID,CourseID,Name,StudyOrNot,Semester,Group
3,19,Xã hội học,0,4,1
3,20,Tiếng Việt thực hành,0,4,1
3,21,Âm nhạc - Nhạc lý và Guitar căn bản,0,4,1
3,22,Hội họa,0,4,1
3,23,Những môn chính học kỳ 5,1,5,0
3,24,Giao dịch định lượng,0,5,1
3,25,Phân tích định lượng,1,5,1
3,26,Nguyên lý mô hình hóa định lượng,0,5,1
3,27,Những môn chính học kỳ 6,1,6,0
3,28,Lập trình phân tích dữ liệu 2,0,6,1
3,29,Trực quan hóa dữ liệu,0,6,1
3,30,Tương tác người máy,0,6,1
3,31,Kế toán tài chính,0,6,2
3,32,Tiếp thị điện tử ,0,6,2
3,33,Hành vi tổ chức ,1,6,2
3,34,Những môn chính học kỳ 7,1,7,0
3,35,Quản trị bán hàng,1,7,1
3,36,Nguyên lý quản trị tài chính ,0,7,1
3,37,Kế toán quản trị ,0,7,1
3,38,Các hệ thống thông minh doanh nghiệp,0,7,2
3,39,Khai thác dữ liệu và ứng dụng,0,7,2
3,40,Cơ sở dữ liệu nâng cao,0,7,2
3,41,Những môn chính học kỳ 8,1,8,0
3,42,Nhập môn dữ liệu lớn ,0,8,1
3,43,Nguyên lý các hệ cơ sở dữ liệu,0,8,1
3,44,Kiến trúc hướng dịch vụ và Điện toán đám mây,0,8,1
3,45,Quản lý quy trình nghiệp vụ ,0,8,2
3,46,Quản trị nguồn nhân lực ,1,8,2
3,47,Kiểm toán cơ bản,0,8,2
3,48,Những môn chính học kỳ 9,1,9,0
4,1,Những môn chính học kỳ 1,1,1,0
4,2,Những môn chính học kỳ 2,1,2,0
4,3,Logic học,0,2,1
4,4,Phương pháp tính,0,2,1
4,5,Vật lý đại cương,1,2,1
4,6,Toán ứng dụng,0,2,1
4,7,Hàm phức và phép biến đổi Laplace,0,2,1
4,8,Những môn chính học kỳ 3,1,3,0
4,9,Kỹ năng xây dựng kế hoạch ,0,3,1
4,10,Quản trị học,0,3,1
4,11,Quản trị doanh nghiệp,1,3,1
4,12,Kế toán cơ bản,0,3,1
4,13,Môi trường và con người ,0,3,1
4,14,Giao tiếp kinh doanh,0,3,1
4,15,Kỹ năng sử dụng bàn phím và thiết bị văn phòng,0,3,1
4,16,Những môn chính học kỳ 4,1,4,0
4,17,Tâm lí học đại cương,1,4,1
4,18,Cơ sở văn hóa Việt Nam,0,4,1
4,19,Xã hội học,0,4,1
4,20,Tiếng Việt thực hành,0,4,1
4,21,Âm nhạc - Nhạc lý và Guitar căn bản,0,4,1
4,22,Hội họa,0,4,1
4,23,Những môn chính học kỳ 5,1,5,0
4,24,Giao dịch định lượng,1,5,1
4,25,Phân tích định lượng,0,5,1
4,26,Nguyên lý mô hình hóa định lượng,0,5,1
4,27,Những môn chính học kỳ 6,1,6,0
4,28,Lập trình phân tích dữ liệu 2,0,6,1
4,29,Trực quan hóa dữ liệu,0,6,1
4,30,Tương tác người máy,1,6,1
4,31,Kế toán tài chính,1,6,2
4,32,Tiếp thị điện tử ,0,6,2
4,33,Hành vi tổ chức ,0,6,2
4,34,Những môn chính học kỳ 7,1,7,0
4,35,Quản trị bán hàng,1,7,1
4,36,Nguyên lý quản trị tài chính ,0,7,1
4,37,Kế toán quản trị ,0,7,1
4,38,Các hệ thống thông minh doanh nghiệp,0,7,2
4,39,Khai thác dữ liệu và ứng dụng,1,7,2
4,40,Cơ sở dữ liệu nâng cao,0,7,2
4,41,Những môn chính học kỳ 8,1,8,0
4,42,Nhập môn dữ liệu lớn ,0,8,1
4,43,Nguyên lý các hệ cơ sở dữ liệu,0,8,1
4,44,Kiến trúc hướng dịch vụ và Điện toán đám mây,1,8,1
4,45,Quản lý quy trình nghiệp vụ ,0,8,2
4,46,Quản trị nguồn nhân lực ,1,8,2
